date,open,high,low,close,volume,amount,name,ticker
2023-07-03,25.4,25.72,23.48,24.37,1556356.02,3812430.137,工业富联,601138.SH
2023-07-04,24.0,25.3,23.97,24.58,1108526.32,2724852.436,工业富联,601138.SH
2023-07-05,24.3,24.51,23.61,23.86,959801.13,2300738.699,工业富联,601138.SH
2023-07-06,23.6,24.75,23.6,23.88,975268.63,2363004.012,工业富联,601138.SH
2023-07-07,23.8,24.28,22.8,23.66,1051556.37,2467400.528,工业富联,601138.SH
2023-07-10,24.0,24.06,22.89,23.8,888598.26,2079013.382,工业富联,601138.SH
2023-07-11,24.0,24.6,23.5,24.24,1187435.82,2860137.756,工业富联,601138.SH
2023-07-12,24.0,24.0,22.41,22.53,1653803.26,3803466.806,工业富联,601138.SH
2023-07-13,22.98,24.78,22.77,24.78,1557739.95,3692431.528,工业富联,601138.SH
2023-07-14,25.71,27.26,25.45,27.26,2081318.73,5474742.072,工业富联,601138.SH
2023-07-17,26.89,26.89,25.62,26.11,1749724.77,4581994.468,工业富联,601138.SH
2023-07-18,26.08,26.65,25.07,25.53,1566160.93,4030402.671,工业富联,601138.SH
2023-07-19,25.92,26.42,24.74,25.09,1270261.68,3213940.576,工业富联,601138.SH
2023-07-20,24.9,24.95,22.8,23.25,2028229.69,4796612.587,工业富联,601138.SH
2023-07-21,23.04,23.54,22.6,23.04,1326289.76,3060013.607,工业富联,601138.SH
2023-07-24,22.79,24.53,22.79,23.66,1456210.5,3464207.392,工业富联,601138.SH
2023-07-25,24.05,24.68,23.1,24.0,1619429.14,3883664.355,工业富联,601138.SH
2023-07-26,23.5,24.18,22.21,23.25,1612810.64,3743366.428,工业富联,601138.SH
2023-07-27,23.13,23.29,22.33,22.68,1422649.34,3233438.185,工业富联,601138.SH
2023-07-28,22.3,22.62,21.68,22.26,1182658.78,2619015.858,工业富联,601138.SH
2023-07-31,22.25,23.1,21.81,22.33,1410990.61,3180890.47,工业富联,601138.SH
2023-08-01,22.2,23.15,21.53,22.67,1630854.67,3655613.866,工业富联,601138.SH
2023-08-02,22.25,22.86,22.11,22.32,835973.96,1873700.193,工业富联,601138.SH
2023-08-03,21.86,22.85,21.65,22.5,1184953.48,2640203.325,工业富联,601138.SH
2023-08-04,22.1,24.03,21.92,23.77,1868328.51,4306607.786,工业富联,601138.SH
2023-08-07,23.7,26.0,23.6,24.98,2299515.59,5689145.334,工业富联,601138.SH
2023-08-08,24.6,24.92,23.87,24.18,1315251.66,3206501.097,工业富联,601138.SH
2023-08-09,23.3,23.73,22.25,22.25,2184953.33,4991039.039,工业富联,601138.SH
2023-08-10,21.99,22.0,20.93,21.5,2383605.05,5102779.608,工业富联,601138.SH
2023-08-11,21.72,22.2,21.38,21.5,1376588.61,2999618.734,工业富联,601138.SH
2023-08-14,21.09,21.61,20.7,21.4,1293395.73,2737037.106,工业富联,601138.SH
2023-08-15,22.04,22.23,21.21,21.39,1571670.34,3425023.036,工业富联,601138.SH
2023-08-16,21.0,21.4,20.69,20.89,1201353.05,2520208.813,工业富联,601138.SH
2023-08-17,20.33,21.17,19.93,20.91,1347608.3,2786935.601,工业富联,601138.SH
2023-08-18,20.89,21.04,20.06,20.1,1020524.91,2084409.527,工业富联,601138.SH
2023-08-21,20.15,20.89,19.86,20.41,918720.37,1880744.006,工业富联,601138.SH
2023-08-22,21.2,22.45,20.73,22.45,1997065.51,4278439.693,工业富联,601138.SH
2023-08-23,22.17,22.22,21.06,21.34,1377277.26,2962775.19,工业富联,601138.SH
2023-08-24,22.5,23.3,21.9,22.43,2016512.08,4539145.812,工业富联,601138.SH
2023-08-25,21.2,21.47,20.19,20.32,1951190.71,4038616.221,工业富联,601138.SH
2023-08-28,21.43,21.43,20.21,20.68,1375393.91,2867096.461,工业富联,601138.SH
2023-08-29,20.55,22.14,20.28,21.59,1727641.17,3678743.676,工业富联,601138.SH
