date,open,high,low,close,volume,amount,name,ticker
2023-07-03,449.0,450.99,448.9,449.5,0,0,积存金,AU9999.SGE
2023-07-04,453.0,453.0,449.5,450.0,0,0,积存金,AU9999.SGE
2023-07-05,451.0,451.0,450.0,450.74,0,0,积存金,AU9999.SGE
2023-07-06,452.0,452.0,450.01,450.41,0,0,积存金,AU9999.SGE
2023-07-07,452.89,452.89,447.21,449.92,0,0,积存金,AU9999.SGE
2023-07-10,453.9,453.9,449.0,451.35,0,0,积存金,AU9999.SGE
2023-07-11,453.9,453.9,449.1,450.29,0,0,积存金,AU9999.SGE
2023-07-12,453.97,453.97,450.56,451.26,0,0,积存金,AU9999.SGE
2023-07-13,453.6,455.39,451.5,454.9,0,0,积存金,AU9999.SGE
2023-07-14,455.0,455.0,452.3,452.5,0,0,积存金,AU9999.SGE
2023-07-17,456.59,456.59,453.2,454.15,0,0,积存金,AU9999.SGE
2023-07-18,456.0,456.35,453.5,456.34,0,0,积存金,AU9999.SGE
2023-07-19,458.6,462.2,456.45,462.17,0,0,积存金,AU9999.SGE
2023-07-20,457.88,462.3,457.88,460.94,0,0,积存金,AU9999.SGE
2023-07-21,462.0,462.0,457.8,458.33,0,0,积存金,AU9999.SGE
2023-07-24,460.0,461.89,456.78,458.63,0,0,积存金,AU9999.SGE
2023-07-25,462.0,462.0,455.5,455.58,0,0,积存金,AU9999.SGE
2023-07-26,460.0,460.0,455.0,457.99,0,0,积存金,AU9999.SGE
2023-07-27,463.0,463.0,456.8,458.85,0,0,积存金,AU9999.SGE
2023-07-28,463.0,463.0,454.5,455.68,0,0,积存金,AU9999.SGE
2023-07-31,463.0,463.0,454.9,455.35,0,0,积存金,AU9999.SGE
2023-08-01,457.3,457.69,456.0,456.44,0,0,积存金,AU9999.SGE
2023-08-02,457.5,457.5,454.5,456.81,0,0,积存金,AU9999.SGE
2023-08-03,458.0,458.0,454.2,454.7,0,0,积存金,AU9999.SGE
2023-08-04,454.5,460.0,453.2,454.02,0,0,积存金,AU9999.SGE
2023-08-07,494.3,494.3,454.0,454.89,0,0,积存金,AU9999.SGE
2023-08-08,459.0,459.0,453.5,454.84,0,0,积存金,AU9999.SGE
2023-08-09,458.0,458.0,454.3,455.05,0,0,积存金,AU9999.SGE
2023-08-10,455.0,455.0,452.8,453.62,0,0,积存金,AU9999.SGE
2023-08-11,455.0,456.0,453.9,455.25,0,0,积存金,AU9999.SGE
2023-08-14,456.5,456.5,455.0,455.95,0,0,积存金,AU9999.SGE
2023-08-15,456.0,456.1,454.8,456.0,0,0,积存金,AU9999.SGE
2023-08-16,465.0,465.0,456.2,456.79,0,0,积存金,AU9999.SGE
2023-08-17,465.0,465.0,455.8,456.7,0,0,积存金,AU9999.SGE
