date,open,high,low,close,volume,amount,ma_short,ma_long,signal,position,buy_signal,sell_signal,name,ticker
2023-07-03,32.95,34.53,32.95,33.68,2016505.52,6819137.23,,,0,0,,,立讯精密,002475.SZ
2023-07-04,33.12,34.37,32.89,34.01,970044.76,3288509.284,,,0,0,,,立讯精密,002475.SZ
2023-07-05,34.0,34.2,33.39,33.69,627262.68,2118216.766,,,0,0,,,立讯精密,002475.SZ
2023-07-06,33.38,33.74,32.71,33.25,868298.63,2878623.77,,,0,0,,,立讯精密,002475.SZ
2023-07-07,33.25,33.59,32.69,33.31,445792.32,1478959.731,33.588,,0,0,,,立讯精密,002475.SZ
2023-07-10,33.21,33.5,32.48,32.65,581552.25,1907192.526,33.382,,-1,0,,,立讯精密,002475.SZ
2023-07-11,32.81,33.47,32.7,33.24,483946.01,1605051.509,33.227999999999994,,-1,0,,,立讯精密,002475.SZ
2023-07-12,33.13,33.54,32.63,32.75,418709.09,1383017.985,33.04,,-1,0,,,立讯精密,002475.SZ
2023-07-13,32.95,34.69,32.91,34.42,893638.86,3043283.616,33.274,,-1,0,,,立讯精密,002475.SZ
2023-07-14,34.35,34.83,34.0,34.17,530699.73,1822575.143,33.446000000000005,,-1,0,,,立讯精密,002475.SZ
2023-07-17,34.19,35.2,34.0,34.06,715497.61,2476979.933,33.727999999999994,,-1,0,,,立讯精密,002475.SZ
2023-07-18,34.4,35.32,33.93,34.34,719885.94,2488542.06,33.948,,-1,0,,,立讯精密,002475.SZ
2023-07-19,33.9,34.4,33.23,33.56,632828.89,2122759.899,34.11,,-1,0,,,立讯精密,002475.SZ
2023-07-20,33.75,33.94,32.24,32.37,745446.0,2441432.083,33.7,,-1,0,,,立讯精密,002475.SZ
2023-07-21,32.36,32.5,31.7,32.01,571251.39,1829495.915,33.267999999999994,33.434,-1,0,,,立讯精密,002475.SZ
2023-07-24,31.85,32.64,31.57,32.03,357110.05,1149487.81,32.862,33.324,-1,0,,,立讯精密,002475.SZ
2023-07-25,32.65,32.9,31.92,32.06,547523.77,1765608.318,32.406000000000006,33.194,-1,0,,,立讯精密,002475.SZ
2023-07-26,31.8,32.28,31.4,32.07,419851.66,1339344.924,32.108000000000004,33.086,-1,0,,,立讯精密,002475.SZ
2023-07-27,32.05,32.22,31.21,31.36,587807.34,1851412.56,31.906,32.96,-1,0,,,立讯精密,002475.SZ
2023-07-28,31.32,32.04,31.15,31.82,509156.97,1611712.019,31.868000000000002,32.86066666666667,-1,0,,,立讯精密,002475.SZ
2023-07-31,31.65,32.8,31.65,32.32,687804.58,2219041.702,31.926,32.83866666666667,-1,0,,,立讯精密,002475.SZ
2023-08-01,32.35,33.75,31.94,33.25,867630.95,2869497.196,32.164,32.839333333333336,-1,0,,,立讯精密,002475.SZ
