date,type,price,shares,capital_after,pnl
2023-08-03,buy,33.86382999999999,2952,99970.010192152,
2023-08-16,sell,31.80816,2952,93873.50304565602,-6068.337839999978
2023-08-31,buy,33.032999999999994,2840,93845.35892965602,
2023-09-07,sell,29.91006,2840,84950.72595853603,-8869.14959999999
2023-09-26,buy,29.719689999999996,2857,84925.25321223703,
2023-10-25,sell,31.12884,2857,88924.51423347305,4025.9415500000177
2023-10-30,buy,33.813779999999994,2629,88897.84530518705,
2023-11-14,sell,31.85811,2629,83731.26238383006,-5141.456429999991
2023-11-30,buy,31.861829999999994,2627,83706.15207560707,
2023-12-05,sell,30.3696,2627,79762.12958384708,-3920.088209999987
2023-12-14,buy,31.521489999999996,2529,79738.21422938409,
2024-01-08,sell,31.298669999999998,2529,79150.9561484551,-563.5117800000007
2024-02-19,buy,27.517489999999995,2875,79127.2223133301,
2024-04-03,sell,28.731240000000003,2875,82591.97286883013,3489.5312500000146
2024-04-26,buy,28.818789999999996,2865,82567.20311882513,
2024-07-23,sell,38.39157,2865,109960.22026441015,27426.014700000014
2024-08-16,buy,37.07704,2964,109927.25136044215,
2024-09-09,sell,35.85411,2964,106270.60536583017,-3624.764519999997
2024-09-25,buy,38.498459999999994,2759,106238.74019048817,
2024-10-30,sell,42.93702,2759,118449.18825903418,12245.987040000007
2024-12-03,buy,40.35031,2934,118413.67191617218,
2025-01-03,sell,39.19076999999999,2934,114977.08584041818,-3402.0903600000165
2025-01-20,buy,40.83078999999999,2815,114942.60423826319,
2025-03-04,sell,41.808150000000005,2815,117658.56565558822,2751.26840000003
2025-03-28,buy,41.25120999999999,2851,117623.28349567522,
2025-04-02,sell,39.31065,2851,112057.12453673025,-5532.536559999979
2025-04-25,buy,31.641609999999996,3540,112023.52114691025,
2025-05-22,sell,31.738229999999998,3540,112331.84994665027,342.03480000000854
2025-06-10,buy,31.81178,3530,112298.16127163028,
2025-08-01,sell,36.60336,3530,129173.67571339029,16914.277400000006
2025-08-13,buy,38.388349999999996,3363,129134.9457070753,
2025-10-14,sell,54.954989999999995,3363,184793.1119376643,55713.61032000001
2025-10-27,buy,65.4654,2821,184737.7085696443,
2025-11-06,sell,61.59833999999999,2821,173776.6016345023,-10908.976260000025
2025-12-01,buy,58.668609999999994,2961,173724.4863082393,
2025-12-16,sell,57.27267,2961,169540.23265547832,-4133.378339999996
2025-12-29,buy,58.27821999999999,2908,169489.39073635032,
2026-01-05,sell,58.49145,2908,170058.43563537038,620.0728400000371
2026-01-06,buy,59.279219999999995,2867,170007.44957824837,
2026-01-07,sell,57.49245,2867,164835.3307320034,-5122.669589999976
2026-01-21,buy,57.117059999999995,2885,164785.8959165734,
2026-01-26,sell,54.03591,2885,155850.01008646842,-8889.117750000005
2026-03-16,buy,49.309259999999995,3159,155803.27970076643,
2026-03-24,sell,46.29366,3159,146233.12679918445,-9526.280399999989
2026-03-30,buy,48.80875999999999,2995,146189.27212832446,
2026-05-21,sell,67.80213,2995,203013.4950645195,56885.14315000002
2026-06-03,buy,74.8748,2710,202952.6218521195,
2026-06-08,sell,66.07386,2710,179048.35640393954,-23850.54739999998
2026-06-24,buy,75.12504999999999,2382,178994.67204320955,
2026-07-02,sell,60.8391,2382,144922.06352234958,-34029.13289999997
