date,type,price,shares,capital_after,pnl
2023-07-21,buy,23.063039999999997,4334,99970.013435392,
2023-07-24,sell,23.63634,4334,102423.96366612401,2484.68220000001
2023-08-08,buy,24.204179999999997,4230,102393.24856170401,
2023-08-11,sell,21.4785,4230,90836.36594520403,-11529.62639999998
2023-08-30,buy,21.8218,4161,90809.12579226404,
2023-08-31,sell,21.888090000000002,4161,91057.63557951705,275.8326900000102
2023-09-01,buy,21.27125,4279,91030.32967589206,
2023-09-06,sell,20.19978,4279,86419.57908830607,-4584.820129999993
2023-09-26,buy,19.74973,4374,86393.66349260007,
2023-10-13,sell,17.862119999999997,4374,78113.81867873606,-8256.406140000006
2023-11-08,buy,15.315299999999999,5098,78090.39545891606,
2023-11-24,sell,15.3846,5098,78420.15765167605,353.2914000000019
2023-12-13,buy,15.095079999999998,5193,78396.64102654405,
2023-12-20,sell,14.53545,5193,75467.83765898907,-2906.1585899999773
2024-01-22,buy,14.414399999999999,5234,75445.20416810908,
2024-02-02,sell,13.90608,5234,72762.82196129308,-2660.5468799999944
2024-02-05,buy,14.784769999999998,4919,72741.00407620409,
2024-03-27,sell,22.38759,4919,110106.23828964109,37398.27158
2024-04-18,buy,22.922899999999995,4801,110073.22243677109,
2024-04-22,sell,20.81916,4801,99943.18086062312,-10100.055739999967
2024-04-26,buy,24.434409999999996,4089,99913.20716987613,
2024-05-29,sell,24.18579,4089,98866.93128128315,-1016.6071799999772
2024-06-12,buy,24.39437,4051,98837.28480342215,
2024-07-03,sell,27.352619999999998,4051,110787.91391433615,11983.870750000002
2024-07-10,buy,28.978949999999998,3821,110754.69534395116,
2024-07-17,sell,25.924049999999998,3821,99052.20570543615,-11672.77290000001
2024-09-24,buy,20.600579999999997,4806,99022.50378919215,
2024-10-31,sell,24.22575,4806,116410.14212284217,17422.567020000017
2024-11-11,buy,27.03701,4304,116375.23193553017,
2024-11-18,sell,23.216759999999997,4304,99902.89845501816,-16442.356000000014
2024-12-12,buy,22.362339999999996,4466,99872.93739188617,
2024-12-13,sell,21.32865,4466,95227.90172661618,-4616.459539999982
2024-12-24,buy,23.022999999999996,4134,95199.34860201618,
2025-01-03,sell,20.52945,4134,84865.5522781262,-10308.335699999981
2025-01-21,buy,21.231209999999997,3996,84840.1003035782,
2025-02-10,sell,21.69828,3996,86680.50012551423,1866.4117200000182
2025-02-12,buy,22.172149999999995,3908,86654.50549685422,
2025-03-03,sell,21.04893,3908,82240.28397132223,-4389.543759999986
2025-03-19,buy,21.041019999999996,3907,82215.62179178024,
2025-03-24,sell,20.81916,3907,81324.41263434425,-866.8070199999929
2025-04-23,buy,18.258239999999997,4452,81300.02692900025,
2025-05-26,sell,18.74124,4452,83425.31212885627,2150.3160000000207
2025-06-04,buy,19.449429999999996,4288,83400.29238210428,
2025-06-25,sell,20.95902,4288,89846.4526187763,6473.12192000002
2025-06-27,buy,21.37135,4202,89819.5118949663,
2025-10-14,sell,59.66028,4202,250634.38800599833,160890.08386
2025-10-24,buy,67.31724999999999,3722,250559.22156464835,
2025-11-12,sell,68.53139999999999,3722,255001.7657034084,4519.066300000035
2025-12-08,buy,63.47340999999999,4016,254925.2929390404,
2025-12-16,sell,58.89105,4016,236451.58324200046,-18402.75775999995
2025-12-25,buy,66.78671999999999,3539,236380.67578137646,
2026-01-12,sell,60.86907,3539,215373.48773975752,-20942.563349999953
2026-02-26,buy,58.007949999999994,3711,215308.90748902253,
2026-03-05,sell,55.0449,3711,204251.74745185257,-10995.878549999965
2026-04-02,buy,52.05199999999999,3922,204190.5030686526,
2026-05-11,sell,65.78415,3922,257970.59373776263,53857.49230000004
2026-05-13,buy,70.91084,3636,257893.24419349062,
2026-06-11,sell,69.45048,3636,252507.61864990665,-5309.8689599999925
2026-06-22,buy,78.95888,3197,252431.88918809866,
2026-06-30,sell,72.07785000000001,3197,230364.10641216376,-21998.652909999917
