date,open,high,low,close,volume,amount,ma_short,ma_long,signal,position,buy_signal,sell_signal,name,ticker
2023-07-03,449.0,450.99,448.9,449.5,0,0,,,0,0,,,积存金,AU9999.SGE
2023-07-04,453.0,453.0,449.5,450.0,0,0,,,0,0,,,积存金,AU9999.SGE
2023-07-05,451.0,451.0,450.0,450.74,0,0,,,0,0,,,积存金,AU9999.SGE
2023-07-06,452.0,452.0,450.01,450.41,0,0,,,0,0,,,积存金,AU9999.SGE
2023-07-07,452.89,452.89,447.21,449.92,0,0,450.11400000000003,,0,0,,,积存金,AU9999.SGE
2023-07-10,453.9,453.9,449.0,451.35,0,0,450.48400000000004,,-1,0,,,积存金,AU9999.SGE
2023-07-11,453.9,453.9,449.1,450.29,0,0,450.54200000000003,,-1,0,,,积存金,AU9999.SGE
2023-07-12,453.97,453.97,450.56,451.26,0,0,450.646,,-1,0,,,积存金,AU9999.SGE
2023-07-13,453.6,455.39,451.5,454.9,0,0,451.544,,-1,0,,,积存金,AU9999.SGE
2023-07-14,455.0,455.0,452.3,452.5,0,0,452.05999999999995,,-1,0,,,积存金,AU9999.SGE
2023-07-17,456.59,456.59,453.2,454.15,0,0,452.62,,-1,0,,,积存金,AU9999.SGE
2023-07-18,456.0,456.35,453.5,456.34,0,0,453.83000000000004,,-1,0,,,积存金,AU9999.SGE
2023-07-19,458.6,462.2,456.45,462.17,0,0,456.012,,-1,0,,,积存金,AU9999.SGE
2023-07-20,457.88,462.3,457.88,460.94,0,0,457.21999999999997,,-1,0,,,积存金,AU9999.SGE
2023-07-21,462.0,462.0,457.8,458.33,0,0,458.38599999999997,453.52000000000004,1,1,458.33,,积存金,AU9999.SGE
2023-07-24,460.0,461.89,456.78,458.63,0,0,459.282,454.1286666666667,1,1,,,积存金,AU9999.SGE
2023-07-25,462.0,462.0,455.5,455.58,0,0,459.12999999999994,454.5006666666667,1,1,,,积存金,AU9999.SGE
2023-07-26,460.0,460.0,455.0,457.99,0,0,458.29400000000004,454.98400000000004,1,1,,,积存金,AU9999.SGE
2023-07-27,463.0,463.0,456.8,458.85,0,0,457.87600000000003,455.54666666666674,1,1,,,积存金,AU9999.SGE
2023-07-28,463.0,463.0,454.5,455.68,0,0,457.346,455.9306666666667,1,1,,,积存金,AU9999.SGE
2023-07-31,463.0,463.0,454.9,455.35,0,0,456.68999999999994,456.19733333333335,1,1,,,积存金,AU9999.SGE
2023-08-01,457.3,457.69,456.0,456.44,0,0,456.86199999999997,456.6073333333333,1,1,,,积存金,AU9999.SGE
2023-08-02,457.5,457.5,454.5,456.81,0,0,456.62600000000003,456.9773333333333,-1,0,,456.81,积存金,AU9999.SGE
2023-08-03,458.0,458.0,454.2,454.7,0,0,455.796,456.964,-1,0,,,积存金,AU9999.SGE
2023-08-04,454.5,460.0,453.2,454.02,0,0,455.46400000000006,457.06533333333334,-1,0,,,积存金,AU9999.SGE
2023-08-07,494.3,494.3,454.0,454.89,0,0,455.37199999999996,457.1146666666666,-1,0,,,积存金,AU9999.SGE
2023-08-08,459.0,459.0,453.5,454.84,0,0,455.05199999999996,457.0146666666667,-1,0,,,积存金,AU9999.SGE
2023-08-09,458.0,458.0,454.3,455.05,0,0,454.7,456.54,-1,0,,,积存金,AU9999.SGE
2023-08-10,455.0,455.0,452.8,453.62,0,0,454.48400000000004,456.05199999999996,-1,0,,,积存金,AU9999.SGE
2023-08-11,455.0,456.0,453.9,455.25,0,0,454.73,455.84666666666664,-1,0,,,积存金,AU9999.SGE
2023-08-14,456.5,456.5,455.0,455.95,0,0,454.942,455.66799999999995,-1,0,,,积存金,AU9999.SGE
2023-08-15,456.0,456.1,454.8,456.0,0,0,455.174,455.69599999999997,-1,0,,,积存金,AU9999.SGE
2023-08-16,465.0,465.0,456.2,456.79,0,0,455.52199999999993,455.616,-1,0,,,积存金,AU9999.SGE
2023-08-17,465.0,465.0,455.8,456.7,0,0,456.13800000000003,455.4726666666666,1,1,456.7,,积存金,AU9999.SGE
2023-08-18,465.0,465.0,455.6,456.1,0,0,456.308,455.5006666666667,1,1,,,积存金,AU9999.SGE
2023-08-21,465.0,465.0,455.5,457.92,0,0,456.70200000000006,455.67199999999997,1,1,,,积存金,AU9999.SGE
2023-08-22,465.0,465.0,456.7,457.82,0,0,457.066,455.764,1,1,,,积存金,AU9999.SGE
2023-08-23,465.0,475.0,456.8,458.32,0,0,457.372,455.86466666666666,1,1,,,积存金,AU9999.SGE
2023-08-24,463.9,463.9,458.5,459.7,0,0,457.97200000000004,456.19800000000004,1,1,,,积存金,AU9999.SGE
2023-08-25,468.0,468.0,458.6,459.0,0,0,458.552,456.53,1,1,,,积存金,AU9999.SGE
2023-08-28,464.0,464.0,458.18,459.14,0,0,458.796,456.81333333333333,1,1,,,积存金,AU9999.SGE
2023-08-29,469.0,469.0,459.6,460.35,0,0,459.302,457.1806666666667,1,1,,,积存金,AU9999.SGE
2023-08-30,470.0,470.0,460.35,461.96,0,0,460.0299999999999,457.6413333333333,1,1,,,积存金,AU9999.SGE
2023-08-31,470.0,470.1,462.01,464.16,0,0,460.922,458.344,1,1,,,积存金,AU9999.SGE
2023-09-01,475.0,475.0,461.5,463.79,0,0,461.88,458.9133333333333,1,1,,,积存金,AU9999.SGE
2023-09-04,465.0,466.01,462.5,465.5,0,0,463.15200000000004,459.55,1,1,,,积存金,AU9999.SGE
2023-09-05,465.0,465.95,463.8,465.85,0,0,464.25200000000007,460.2066666666667,1,1,,,积存金,AU9999.SGE
2023-09-06,466.0,466.0,464.12,464.13,0,0,464.68600000000004,460.696,1,1,,,积存金,AU9999.SGE
2023-09-07,465.0,465.7,464.25,464.38,0,0,464.73,461.208,1,1,,,积存金,AU9999.SGE
2023-09-08,466.0,467.75,465.2,467.68,0,0,465.508,461.97999999999996,1,1,,,积存金,AU9999.SGE
2023-09-11,467.5,468.8,467.21,468.09,0,0,466.026,462.658,1,1,,,积存金,AU9999.SGE
2023-09-12,468.0,469.5,467.9,469.4,0,0,466.73600000000005,463.43000000000006,1,1,,,积存金,AU9999.SGE
2023-09-13,469.0,470.9,468.0,470.21,0,0,467.95199999999994,464.2226666666666,1,1,,,积存金,AU9999.SGE
2023-09-14,475.0,475.0,470.1,474.7,0,0,470.01599999999996,465.22266666666667,1,1,,,积存金,AU9999.SGE
2023-09-15,476.0,480.4,467.05,469.6,0,0,470.4,465.9293333333333,1,1,,,积存金,AU9999.SGE
2023-09-18,477.99,477.99,467.0,469.18,0,0,470.61799999999994,466.5986666666667,1,1,,,积存金,AU9999.SGE
2023-09-19,469.5,471.7,468.0,471.26,0,0,470.98999999999995,467.326,1,1,,,积存金,AU9999.SGE
2023-09-20,472.0,474.7,471.3,472.0,0,0,471.34799999999996,467.99533333333335,1,1,,,积存金,AU9999.SGE
2023-09-21,474.2,476.0,472.2,472.83,0,0,470.974,468.5733333333334,1,1,,,积存金,AU9999.SGE
2023-09-22,471.0,473.6,469.4,471.72,0,0,471.39799999999997,469.10200000000003,1,1,,,积存金,AU9999.SGE
2023-09-25,470.0,475.75,470.0,475.73,0,0,472.70799999999997,469.784,1,1,,,积存金,AU9999.SGE
2023-09-26,475.0,475.8,473.0,474.04,0,0,473.264,470.33,1,1,,,积存金,AU9999.SGE
2023-09-27,474.5,474.5,462.0,462.68,0,0,471.4,470.23333333333335,1,1,,,积存金,AU9999.SGE
2023-09-28,467.0,467.0,445.5,447.1,0,0,466.254,469.0813333333333,-1,0,,447.1,积存金,AU9999.SGE
2023-10-09,446.0,459.0,438.0,438.0,0,0,459.51000000000005,467.10266666666666,-1,0,,,积存金,AU9999.SGE
2023-10-10,446.0,452.0,446.0,449.88,0,0,454.34,465.88866666666667,-1,0,,,积存金,AU9999.SGE
2023-10-11,435.5,451.5,435.5,450.42,0,0,449.616,464.62333333333333,-1,0,,,积存金,AU9999.SGE
2023-10-12,451.0,453.7,446.5,451.05,0,0,447.28999999999996,463.34600000000006,-1,0,,,积存金,AU9999.SGE
2023-10-13,452.0,454.77,452.0,453.99,0,0,448.668,461.9653333333333,-1,0,,,积存金,AU9999.SGE
2023-10-16,451.01,465.31,451.01,460.24,0,0,453.116,461.3413333333334,-1,0,,,积存金,AU9999.SGE
2023-10-17,460.1,463.5,460.0,462.61,0,0,455.662,460.90333333333336,-1,0,,,积存金,AU9999.SGE
2023-10-18,462.55,467.4,461.52,466.0,0,0,458.77799999999996,460.55266666666665,-1,0,,,积存金,AU9999.SGE
2023-10-19,466.4,469.85,466.4,468.95,0,0,462.358,460.34933333333333,1,1,468.95,,积存金,AU9999.SGE
2023-10-20,468.5,476.8,468.5,474.84,0,0,466.52799999999996,460.48333333333335,1,1,,,积存金,AU9999.SGE
2023-10-23,465.31,475.97,465.31,472.47,0,0,468.974,460.5333333333334,1,1,,,积存金,AU9999.SGE
2023-10-24,471.11,473.95,471.11,473.31,0,0,471.1139999999999,460.372,1,1,,,积存金,AU9999.SGE
2023-10-25,476.0,476.0,470.0,471.0,0,0,472.1139999999999,460.1693333333333,1,1,,,积存金,AU9999.SGE
2023-10-26,470.01,474.5,469.6,474.17,0,0,473.158,460.9353333333333,1,1,,,积存金,AU9999.SGE
2023-10-27,473.2,475.98,472.2,475.8,0,0,473.35,462.8486666666667,1,1,,,积存金,AU9999.SGE
2023-10-30,474.5,488.0,473.68,476.9,0,0,474.23600000000005,465.442,1,1,,,积存金,AU9999.SGE
2023-10-31,476.5,478.0,475.9,476.86,0,0,474.946,467.2406666666667,1,1,,,积存金,AU9999.SGE
2023-11-01,477.0,478.48,474.8,475.4,0,0,475.826,468.906,1,1,,,积存金,AU9999.SGE
2023-11-02,474.67,477.15,474.0,476.32,0,0,476.256,470.59066666666666,1,1,,,积存金,AU9999.SGE
2023-11-03,476.0,477.0,474.61,476.99,0,0,476.49399999999997,472.124,1,1,,,积存金,AU9999.SGE
2023-11-06,476.0,479.0,474.02,474.63,0,0,476.03999999999996,473.0833333333333,1,1,,,积存金,AU9999.SGE
2023-11-07,473.0,475.0,471.0,471.44,0,0,474.95599999999996,473.67199999999997,1,1,,,积存金,AU9999.SGE
2023-11-08,469.92,471.83,468.0,470.5,0,0,473.976,473.972,1,1,,,积存金,AU9999.SGE
2023-11-09,470.0,470.0,467.0,467.73,0,0,472.258,473.8906666666666,-1,0,,467.73,积存金,AU9999.SGE
2023-11-10,466.5,470.5,465.1,469.46,0,0,470.75200000000007,473.532,-1,0,,,积存金,AU9999.SGE
2023-11-13,466.5,469.7,464.1,468.94,0,0,469.61400000000003,473.2966666666667,-1,0,,,积存金,AU9999.SGE
2023-11-14,467.7,470.8,465.0,470.78,0,0,469.48199999999997,473.128,-1,0,,,积存金,AU9999.SGE
2023-11-15,468.11,472.4,468.11,471.55,0,0,469.692,473.1646666666667,-1,0,,,积存金,AU9999.SGE
2023-11-16,471.55,471.79,469.5,470.88,0,0,470.32199999999995,472.94533333333334,-1,0,,,积存金,AU9999.SGE
2023-11-17,469.3,473.0,469.3,471.65,0,0,470.75999999999993,472.66866666666664,-1,0,,,积存金,AU9999.SGE
2023-11-20,470.2,470.8,466.0,466.35,0,0,470.242,471.9653333333334,-1,0,,,积存金,AU9999.SGE
2023-11-21,464.0,467.0,463.1,466.79,0,0,469.4440000000001,471.294,-1,0,,,积存金,AU9999.SGE
2023-11-22,464.5,469.0,464.4,465.69,0,0,468.27199999999993,470.64666666666665,-1,0,,,积存金,AU9999.SGE
2023-11-23,463.2,467.0,463.2,465.0,0,0,467.096,469.892,-1,0,,,积存金,AU9999.SGE
2023-11-24,463.0,465.79,463.0,465.02,0,0,465.77,469.094,-1,0,,,积存金,AU9999.SGE
2023-11-27,464.11,469.95,464.11,469.83,0,0,466.466,468.77400000000006,-1,0,,,积存金,AU9999.SGE
2023-11-28,470.0,471.6,470.0,471.31,0,0,467.37,468.76533333333333,-1,0,,,积存金,AU9999.SGE
2023-11-29,470.0,475.7,470.0,474.22,0,0,469.076,469.0133333333333,1,1,474.22,,积存金,AU9999.SGE
2023-11-30,473.5,475.2,473.5,474.04,0,0,470.884,469.434,1,1,,,积存金,AU9999.SGE
2023-12-01,472.5,475.3,472.5,474.32,0,0,472.744,469.75800000000004,1,1,,,积存金,AU9999.SGE
2023-12-04,475.0,487.0,475.0,480.45,0,0,474.86800000000005,470.5253333333333,1,1,,,积存金,AU9999.SGE
2023-12-05,479.5,480.5,471.5,473.93,0,0,475.392,470.7353333333333,1,1,,,积存金,AU9999.SGE
2023-12-06,472.0,473.8,470.8,473.7,0,0,475.288,470.8786666666667,1,1,,,积存金,AU9999.SGE
2023-12-07,471.9,474.79,471.9,474.45,0,0,475.37,471.1166666666667,1,1,,,积存金,AU9999.SGE
2023-12-08,473.3,474.9,472.8,474.1,0,0,475.326,471.28,1,1,,,积存金,AU9999.SGE
2023-12-11,474.6,474.6,468.2,469.34,0,0,473.104,471.47933333333333,1,1,,,积存金,AU9999.SGE
2023-12-12,468.5,470.39,466.3,467.76,0,0,471.87,471.544,1,1,,,积存金,AU9999.SGE
2023-12-13,472.0,472.0,465.0,466.01,0,0,470.332,471.56533333333334,-1,0,,466.01,积存金,AU9999.SGE
2023-12-14,467.5,498.0,466.8,475.03,0,0,470.448,472.23400000000004,-1,0,,,积存金,AU9999.SGE
2023-12-15,474.0,475.0,473.0,474.0,0,0,470.428,472.8326666666666,-1,0,,,积存金,AU9999.SGE
2023-12-18,480.0,480.0,470.1,473.82,0,0,471.32399999999996,473.09866666666665,-1,0,,,积存金,AU9999.SGE
2023-12-19,473.82,474.7,471.8,473.99,0,0,472.57,473.27733333333333,-1,0,,,积存金,AU9999.SGE
2023-12-20,478.0,478.0,473.0,476.6,0,0,474.688,473.436,1,1,476.6,,积存金,AU9999.SGE
2023-12-21,476.5,476.99,474.0,475.54,0,0,474.78999999999996,473.536,1,1,,,积存金,AU9999.SGE
2023-12-22,474.0,480.2,474.0,478.66,0,0,475.72200000000004,473.8253333333333,1,1,,,积存金,AU9999.SGE
2023-12-25,480.0,481.5,477.2,479.0,0,0,476.758,473.72866666666664,1,1,,,积存金,AU9999.SGE
2023-12-26,479.0,480.6,479.0,480.49,0,0,478.058,474.16600000000005,1,1,,,积存金,AU9999.SGE
2023-12-27,480.0,482.7,479.3,482.17,0,0,479.172,474.73066666666665,1,1,,,积存金,AU9999.SGE
2023-12-28,481.6,484.5,481.6,482.19,0,0,480.50200000000007,475.24666666666667,1,1,,,积存金,AU9999.SGE
2023-12-29,480.5,486.0,471.9,479.59,0,0,480.688,475.6126666666667,1,1,,,积存金,AU9999.SGE
2024-01-02,480.8,483.8,480.0,483.66,0,0,481.62000000000006,476.56733333333335,1,1,,,积存金,AU9999.SGE
2024-01-03,482.0,483.5,481.03,481.49,0,0,481.82,477.48266666666666,1,1,,,积存金,AU9999.SGE
2024-01-04,479.0,482.0,477.0,480.4,0,0,481.466,478.442,1,1,,,积存金,AU9999.SGE
2024-01-05,480.2,482.32,479.2,480.0,0,0,481.02799999999996,478.77333333333337,1,1,,,积存金,AU9999.SGE
