date,type,price,shares,capital_after,pnl
2023-07-21,buy,458.7883299999999,217,99970.132879717,
2023-08-02,sell,456.35319,217,99411.99890704802,-528.425379999986
2023-08-17,buy,457.15669999999994,217,99382.23800587803,
2023-09-28,sell,446.65290000000005,217,97073.83630208805,-2279.324599999978
2023-10-19,buy,469.41894999999994,206,97044.82621097805,
2023-11-09,sell,467.26227,206,96571.67332269206,-444.276079999996
2023-11-29,buy,474.69422,203,96542.76444469407,
2023-12-13,sell,465.54399,203,94656.91612570306,-1857.49669
2023-12-20,buy,477.0766,198,94628.57777566307,
2024-01-10,sell,477.60192,198,94704.22158161509,104.01336000001174
2024-02-01,buy,480.47999999999996,197,94675.82521361508,
2024-02-22,sell,478.84068,197,94324.57968942709,-322.94603999999526
2024-02-29,buy,481.4409599999999,195,94296.41539326709,
2024-04-25,sell,547.6118399999999,195,107167.7017006271,12903.32160000001
2024-05-15,buy,556.54599,192,107135.64465160311,
2024-05-28,sell,552.1473000000001,192,106259.29248712315,-844.5484799999685
2024-06-21,buy,556.80625,190,106227.55453087315,
2024-06-27,sell,543.33612,190,103637.25967203316,-2559.3246999999974
2024-07-04,buy,557.00645,186,103606.17871212316,
2024-07-25,sell,551.8475999999999,186,102615.83951604315,-959.5461000000068
2024-08-05,buy,561.2606999999999,182,102585.19468182315,
2024-08-08,sell,554.60484,182,101343.54673755915,-1211.366519999996
2024-08-14,buy,567.27671,178,101313.25416124516,
2024-09-04,sell,566.9624699999999,178,101227.04364534716,-55.934720000004745
2024-09-11,buy,576.3157399999999,175,101196.78706899716,
2024-11-07,sell,609.39999,175,106954.53731952219,5789.743750000023
2024-11-22,buy,624.5339099999999,171,106922.4987299392,
2024-12-19,sell,613.91547,171,105075.25162632822,-1815.7532399999764
2025-01-03,buy,627.49687,167,105043.81403314121,
2025-02-28,sell,670.1092199999999,167,112126.50401121921,7116.262449999995
2025-03-13,buy,684.45377,163,112093.03422186621,
2025-05-06,sell,791.4078000000001,163,129487.84127044624,17433.50689000002
2025-05-26,buy,774.71394,167,129449.02810205224,
2025-06-23,sell,777.2020200000001,167,129825.59964085025,415.50936000001093
2025-07-14,buy,778.1773999999999,166,129786.84640633025,
2025-07-30,sell,768.91032,166,128210.21939239425,-1538.3352799999993
2025-08-07,buy,782.86208,163,128171.93743668226,
2025-08-18,sell,773.6855400000001,163,126638.32819377628,-1495.7760199999902
2025-08-28,buy,780.6298499999999,162,126600.38958306628,
2025-10-28,sell,895.7034,162,145198.7734978263,18641.9151
2025-11-11,buy,947.7367899999998,153,145155.2723791653,
2025-11-21,sell,923.51556,153,141407.03482496136,-3705.8481899999606
2025-11-28,buy,949.0981499999999,148,141364.89486710136,
2026-01-07,sell,998.6803199999999,148,148658.71462089336,7338.161159999989
2026-01-08,buy,997.2062099999999,149,148614.13950330636,
2026-02-05,sell,1104.36453,149,164531.36408881537,15966.589680000005
2026-02-25,buy,1146.78564,143,164482.1669848594,
2026-03-11,sell,1149.2695800000001,143,164788.0667398774,355.2034200000053
2026-04-07,buy,1029.0279999999998,160,164738.6733958774,
2026-04-24,sell,1032.21675,160,165199.32699187743,510.20000000001164
2026-07-08,buy,901.9710699999999,183,165149.80878013442,
2026-07-10,sell,896.35275,183,164072.44645415945,-1028.1525599999877
