date,open,high,low,close,volume,amount,name,ticker
2023-07-03,25.37,26.39,25.35,25.72,65127.26,168330.636,香农芯创,300475.SZ
2023-07-04,25.73,27.09,25.09,26.5,93787.4,246834.12,香农芯创,300475.SZ
2023-07-05,26.9,27.8,26.33,27.09,167916.68,455739.507,香农芯创,300475.SZ
2023-07-06,26.99,32.51,26.54,31.0,452688.0,1386147.755,香农芯创,300475.SZ
2023-07-07,32.0,33.72,30.44,33.57,497205.46,1602320.437,香农芯创,300475.SZ
2023-07-10,32.11,32.5,31.01,32.02,340640.48,1082422.822,香农芯创,300475.SZ
2023-07-11,32.05,37.5,31.69,36.21,514258.88,1785492.48,香农芯创,300475.SZ
2023-07-12,36.36,37.71,35.02,35.65,594534.76,2168914.662,香农芯创,300475.SZ
2023-07-13,35.8,42.78,34.88,42.78,614802.49,2404637.277,香农芯创,300475.SZ
2023-07-14,44.8,47.54,43.51,46.5,656176.25,2989568.37,香农芯创,300475.SZ
2023-07-17,47.09,48.0,45.38,47.35,498541.05,2319484.741,香农芯创,300475.SZ
2023-07-18,46.0,50.1,43.77,44.06,645096.43,2987396.893,香农芯创,300475.SZ
2023-07-19,43.98,46.48,43.7,44.44,543055.26,2442568.901,香农芯创,300475.SZ
2023-07-20,44.01,45.17,40.92,41.93,528963.93,2253978.584,香农芯创,300475.SZ
2023-07-21,40.96,41.5,37.77,37.98,466131.71,1838486.126,香农芯创,300475.SZ
2023-07-24,37.3,40.24,36.8,38.71,361742.76,1409860.63,香农芯创,300475.SZ
2023-07-25,39.51,39.8,37.5,38.81,376249.56,1457640.114,香农芯创,300475.SZ
2023-07-26,38.24,38.68,36.88,37.08,305858.34,1149722.605,香农芯创,300475.SZ
2023-07-27,36.01,37.75,35.42,35.75,364987.38,1323420.176,香农芯创,300475.SZ
2023-07-28,36.53,37.06,34.7,35.53,317483.82,1139325.937,香农芯创,300475.SZ
2023-07-31,34.37,35.69,33.88,34.92,290445.33,1012329.089,香农芯创,300475.SZ
2023-08-01,35.03,37.0,34.03,36.02,435424.0,1564422.001,香农芯创,300475.SZ
2023-08-02,35.01,37.11,34.86,36.79,343921.63,1244538.919,香农芯创,300475.SZ
2023-08-03,36.15,36.5,34.4,35.3,346769.5,1224886.288,香农芯创,300475.SZ
2023-08-04,34.8,35.89,34.45,35.89,285707.44,1007182.924,香农芯创,300475.SZ
2023-08-07,35.26,37.56,35.21,36.0,382239.91,1398982.294,香农芯创,300475.SZ
2023-08-08,35.8,37.95,34.94,36.58,355401.21,1305777.73,香农芯创,300475.SZ
2023-08-09,36.2,36.87,32.6,32.66,440482.17,1508432.949,香农芯创,300475.SZ
2023-08-10,32.05,33.1,32.05,32.38,216094.86,704875.322,香农芯创,300475.SZ
2023-08-11,32.39,32.64,31.43,31.43,158625.61,504986.685,香农芯创,300475.SZ
2023-08-14,31.18,31.77,30.61,31.58,155632.57,484572.753,香农芯创,300475.SZ
2023-08-15,32.01,32.49,30.6,30.9,165456.19,522302.127,香农芯创,300475.SZ
2023-08-16,30.34,31.4,30.2,30.3,139959.99,428726.386,香农芯创,300475.SZ
2023-08-17,29.82,30.9,29.81,30.54,133607.03,405696.402,香农芯创,300475.SZ
2023-08-18,30.53,31.38,29.82,29.87,144948.9,442929.206,香农芯创,300475.SZ
2023-08-21,29.99,30.58,29.6,29.66,106406.56,319876.181,香农芯创,300475.SZ
