date,open,high,low,close,volume,amount,name,ticker
2023-07-03,1.314,1.319,1.262,1.296,209972905,270993020,通信ETF,515880.SH
2023-07-04,1.288,1.32,1.283,1.306,138693400,181025871,通信ETF,515880.SH
2023-07-05,1.3,1.307,1.268,1.273,204949923,262898426,通信ETF,515880.SH
2023-07-06,1.269,1.304,1.262,1.278,175036394,225942775,通信ETF,515880.SH
2023-07-07,1.268,1.287,1.239,1.273,149451100,189449075,通信ETF,515880.SH
2023-07-10,1.274,1.278,1.24,1.256,134748760,169131435,通信ETF,515880.SH
2023-07-11,1.255,1.285,1.252,1.279,134098300,170323265,通信ETF,515880.SH
2023-07-12,1.276,1.276,1.213,1.216,485736300,599077577,通信ETF,515880.SH
2023-07-13,1.222,1.266,1.219,1.262,183610900,227074532,通信ETF,515880.SH
2023-07-14,1.281,1.318,1.275,1.305,182760491,236601650,通信ETF,515880.SH
2023-07-17,1.292,1.321,1.291,1.311,169604400,221549114,通信ETF,515880.SH
2023-07-18,1.304,1.309,1.273,1.276,131089800,169004173,通信ETF,515880.SH
2023-07-19,1.282,1.292,1.261,1.263,93031223,118346001,通信ETF,515880.SH
2023-07-20,1.263,1.264,1.19,1.198,178062531,217892329,通信ETF,515880.SH
2023-07-21,1.19,1.202,1.178,1.195,124523028,148426896,通信ETF,515880.SH
2023-07-24,1.184,1.23,1.183,1.204,174734600,211138009,通信ETF,515880.SH
2023-07-25,1.212,1.238,1.199,1.217,176316632,214527974,通信ETF,515880.SH
2023-07-26,1.212,1.212,1.178,1.189,134229707,160012282,通信ETF,515880.SH
2023-07-27,1.183,1.194,1.167,1.175,160288177,189379519,通信ETF,515880.SH
2023-07-28,1.17,1.188,1.165,1.178,214343573,252031391,通信ETF,515880.SH
2023-07-31,1.167,1.192,1.167,1.178,133875600,158134263,通信ETF,515880.SH
2023-08-01,1.17,1.207,1.164,1.203,227529456,271120783,通信ETF,515880.SH
2023-08-02,1.197,1.211,1.192,1.2,96466500,115872430,通信ETF,515880.SH
2023-08-03,1.19,1.205,1.179,1.19,138373700,164640932,通信ETF,515880.SH
2023-08-04,1.183,1.232,1.183,1.23,227603109,276160456,通信ETF,515880.SH
2023-08-07,1.23,1.264,1.212,1.224,321810700,398663889,通信ETF,515880.SH
2023-08-08,1.218,1.233,1.203,1.204,187691291,228064113,通信ETF,515880.SH
2023-08-09,1.195,1.2,1.162,1.168,230713000,271928472,通信ETF,515880.SH
2023-08-10,1.156,1.164,1.143,1.152,140070891,161240793,通信ETF,515880.SH
2023-08-11,1.153,1.162,1.132,1.135,94237000,108253356,通信ETF,515880.SH
2023-08-14,1.124,1.144,1.118,1.143,121165600,136832027,通信ETF,515880.SH
2023-08-15,1.153,1.164,1.124,1.133,144338300,165405633,通信ETF,515880.SH
2023-08-16,1.122,1.127,1.102,1.109,156498800,174015511,通信ETF,515880.SH
2023-08-17,1.103,1.129,1.09,1.122,167329000,186715449,通信ETF,515880.SH
2023-08-18,1.121,1.122,1.085,1.086,129146100,142008518,通信ETF,515880.SH
2023-08-21,1.082,1.111,1.082,1.089,143976300,157893490,通信ETF,515880.SH
2023-08-22,1.103,1.137,1.092,1.136,214758800,239700786,通信ETF,515880.SH
2023-08-23,1.126,1.126,1.088,1.091,180594800,198794991,通信ETF,515880.SH
2023-08-24,1.111,1.123,1.09,1.099,186986300,206649377,通信ETF,515880.SH
2023-08-25,1.077,1.077,1.039,1.045,151687100,160124419,通信ETF,515880.SH
2023-08-28,1.1,1.102,1.062,1.063,191859400,206817468,通信ETF,515880.SH
2023-08-29,1.06,1.111,1.053,1.104,160584100,174797824,通信ETF,515880.SH
2023-08-30,1.107,1.139,1.106,1.122,156162517,175552712,通信ETF,515880.SH
2023-08-31,1.118,1.131,1.111,1.124,155396200,174509392,通信ETF,515880.SH
2023-09-01,1.12,1.123,1.097,1.106,108363700,120022622,通信ETF,515880.SH
2023-09-04,1.107,1.122,1.1,1.121,143591600,159500754,通信ETF,515880.SH
2023-09-05,1.118,1.118,1.096,1.102,132834600,146625036,通信ETF,515880.SH
2023-09-06,1.093,1.11,1.081,1.106,113442337,124086064,通信ETF,515880.SH
2023-09-07,1.106,1.106,1.076,1.078,107640637,116935584,通信ETF,515880.SH
2023-09-08,1.068,1.092,1.061,1.085,120668691,130371314,通信ETF,515880.SH
2023-09-11,1.086,1.125,1.082,1.111,154575900,170354229,通信ETF,515880.SH
2023-09-12,1.102,1.12,1.098,1.11,90679400,100580647,通信ETF,515880.SH
2023-09-13,1.095,1.106,1.076,1.084,117788700,128098329,通信ETF,515880.SH
2023-09-14,1.083,1.104,1.079,1.085,116670958,127411052,通信ETF,515880.SH
2023-09-15,1.085,1.086,1.057,1.064,103033400,110152952,通信ETF,515880.SH
2023-09-18,1.056,1.073,1.052,1.055,127178300,134855531,通信ETF,515880.SH
2023-09-19,1.051,1.057,1.032,1.043,102457014,106857569,通信ETF,515880.SH
2023-09-20,1.042,1.061,1.04,1.04,134328514,140984192,通信ETF,515880.SH
2023-09-21,1.034,1.064,1.033,1.046,132366600,139238991,通信ETF,515880.SH
2023-09-22,1.041,1.111,1.04,1.11,253935888,275173048,通信ETF,515880.SH
2023-09-25,1.109,1.11,1.086,1.093,173092817,190005417,通信ETF,515880.SH
2023-09-26,1.093,1.114,1.088,1.096,199637700,219752501,通信ETF,515880.SH
2023-09-27,1.088,1.108,1.088,1.101,127673277,140328060,通信ETF,515880.SH
2023-09-28,1.104,1.123,1.103,1.117,183032103,203878889,通信ETF,515880.SH
2023-10-09,1.109,1.12,1.097,1.112,180382533,200211349,通信ETF,515880.SH
2023-10-10,1.112,1.123,1.107,1.119,108343400,120801940,通信ETF,515880.SH
2023-10-11,1.119,1.141,1.113,1.132,167153200,188702677,通信ETF,515880.SH
2023-10-12,1.134,1.137,1.117,1.122,123062400,138243305,通信ETF,515880.SH
2023-10-13,1.114,1.12,1.102,1.107,109830027,121914714,通信ETF,515880.SH
2023-10-16,1.102,1.106,1.083,1.091,111423477,121928840,通信ETF,515880.SH
2023-10-17,1.09,1.1,1.078,1.092,84296804,91743977,通信ETF,515880.SH
2023-10-18,1.076,1.077,1.05,1.063,140033991,148644113,通信ETF,515880.SH
2023-10-19,1.051,1.068,1.043,1.046,96592662,101956155,通信ETF,515880.SH
2023-10-20,1.04,1.053,1.016,1.017,126361456,129914520,通信ETF,515880.SH
2023-10-23,1.004,1.014,0.98,0.988,146919470,146366390,通信ETF,515880.SH
2023-10-24,0.992,1.006,0.978,0.99,95568511,94712581,通信ETF,515880.SH
2023-10-25,0.986,0.997,0.977,0.981,118992600,117545786,通信ETF,515880.SH
2023-10-26,0.975,1.004,0.972,1.001,123811175,122452230,通信ETF,515880.SH
