date,type,price,shares,capital_after,pnl
2023-10-12,buy,32.1321,3111,99970.01111107001,
2023-11-20,sell,31.11885,3111,96788.74713836501,-3152.2207500000077
2023-12-28,buy,33.2332,2911,96759.72458480501,
2024-01-08,sell,31.298669999999998,2911,91100.974626294,-5631.416830000002
2024-03-19,buy,29.489459999999998,3088,91073.65559055,
2024-04-08,sell,28.01196,3088,86485.185310806,-4562.520000000004
2024-05-06,buy,31.020989999999994,2787,86459.248661067,
2024-07-23,sell,38.39157,2787,106968.95592939002,20541.80646000002
2024-08-30,buy,39.459419999999994,2710,106936.87542093002,
2024-11-06,sell,41.288669999999996,2710,111860.57523222003,4957.267500000002
2024-12-26,buy,42.36232,2639,111827.03698347603,
2025-01-02,sell,39.170790000000004,2639,103373.57779903305,-8422.44766999998
2025-02-07,buy,42.642599999999995,2423,103342.58089309305,
2025-03-04,sell,41.808150000000005,2423,101290.31819885809,-2021.8723499999614
2025-06-17,buy,32.70267,3096,101259.94395896209,
2025-07-31,sell,36.59337,3096,113271.5632369061,12045.607200000013
2025-08-18,buy,39.62959,2857,113237.59671531711,
2025-10-14,sell,54.954989999999995,2857,156975.1625933881,43784.66779999997
2026-04-08,buy,52.322269999999996,2999,156928.0882470691,
2026-06-08,sell,66.07386,2999,198109.6600052271,41241.01840999999
