date,type,price,shares,capital_after,pnl
2024-02-06,buy,15.545529999999998,6430,99970.01267263001,
2024-04-03,sell,21.89808,6430,140774.66777631003,40846.89650000002
2024-04-26,buy,24.434409999999996,5759,140732.45244615304,
2024-05-30,sell,23.91606,5759,137705.95501929108,-2985.1776499999687
2024-06-14,buy,27.257229999999996,5050,137664.6603158411,
2024-07-17,sell,25.924049999999998,5050,130892.82638009108,-6732.559000000008
2024-09-25,buy,21.09107,6204,130853.57168060708,
2024-11-01,sell,23.65632,6204,146724.35353782313,15914.81100000003
2024-11-11,buy,27.03701,5425,146680.35080404812,
2024-11-18,sell,23.216759999999997,5425,125917.70927714811,-20724.85625000001
2024-12-24,buy,23.022999999999996,5467,125879.94925484812,
2025-01-02,sell,20.68929,5467,113087.62418031914,-12758.392569999982
2025-05-12,buy,19.28927,5860,113053.71364365914,
2025-05-27,sell,18.451529999999998,5860,108112.11945391915,-4909.156399999993
2025-06-05,buy,20.580559999999995,5251,108079.69889775115,
2025-10-13,sell,63.41652,5251,332911.4248137952,224931.62596000003
2025-10-29,buy,80.8808,4114,332811.6017304352,
2025-11-14,sell,64.20573,4114,264131.12103846925,-68601.23797999998
2026-04-08,buy,56.66660999999999,4659,264051.91811767226,
2026-06-29,sell,69.54039,4659,323933.6625345693,59978.94102000003
