date,type,price,shares,capital_after,pnl
2023-10-30,buy,477.3768999999999,209,99970.06846837001,
2023-11-09,sell,467.26227,209,97826.81345404102,-2113.957669999989
2023-12-04,buy,480.93044999999995,203,97797.52478963602,
2023-12-12,sell,467.29224,203,95000.51006222004,-2768.556629999992
2024-03-04,buy,489.4889999999999,194,94972.02180242004,
2024-04-23,sell,543.46599,194,105411.92814180207,10471.536060000028
2024-07-16,buy,571.39082,184,105380.38736853807,
2024-07-25,sell,551.8475999999999,184,101753.97290101806,-3595.952480000007
2024-08-19,buy,572.8322599999999,177,101723.55550801207,
2024-11-07,sell,609.39999,177,108163.68457854308,6472.48821000001
2024-12-12,buy,629.4588299999999,171,108131.39334056409,
2025-02-28,sell,670.1092199999999,171,115048.23342757809,6951.216690000001
2025-03-14,buy,693.3626699999999,165,115013.9119754131,
2025-05-12,sell,758.241,165,125681.30349591312,10704.92445000002
2025-06-13,buy,792.86207,158,125643.72183379512,
2025-06-27,sell,762.5367,158,120816.16913421512,-4791.408460000006
2025-07-23,buy,789.2884999999999,153,120779.94079206513,
2025-07-29,sell,766.92231,153,117322.71198803617,-3422.0270699999674
2025-09-01,buy,795.4546599999999,147,117287.63243753018,
2025-10-28,sell,895.7034,147,131984.69669759017,14736.56478
2025-12-15,buy,977.7968199999999,134,131945.38926542617,
2026-03-16,sell,1113.4953899999998,134,150084.23513074816,18183.60837999999
